Cmd,Description,Category,Example,Info,CmdType
man,display system documentation,Help,man mkdir,"use man first, then the input. It will open the manuel for the input",LinuxCmd
whatis,prints manual page description,Help,,doesn't always work?,LinuxCmd
info,read _Info_ documents,Help,,,LinuxCmd
--help,get help for cmd,Help,mkdir --help,describse how the cmd works,LinuxCmd
cd,change current directory,Navigation,cd Desktop,"navigate to a forlder so you can affect or list its content. Only typing cd will get you back to root, cd .. will go up 1 lvl",LinuxCmd
ls,list directory content,Navigation,ls -l,ls allows you to see what is inside a directory. ```ls -l``` list owner,LinuxCmd
pwd,print the current directory,Navigation,,know your actual path,LinuxCmd
pushd,"go to a folder while keeping old location on _""cache""_",Navigation,,make a cache save of where you are right now to be used by popd to come back later,LinuxCmd
popd,"go back to an old location on _""cache""_",Navigation,,use path save in cache by pushd to teleport,LinuxCmd
cat,concatenate and print files,FileOperation,cat Stupid.txt,will print the content of Stupid.txt in the terminal. Usefull to check log etc.,LinuxCmd
touch,create a file or update timestamps,FileOperation,touch Stupid.txt,will create Stupid.txt,LinuxCmd
cp,copy a file,FileOperation,cp Stupid.txt Smart.txt,will make a copy of Stupid.txt as Smart.txt,LinuxCmd
mkdir,make a directory,FileOperation,mkdir MyFiles,create a directory named MyFiles,LinuxCmd
mv,move or rename a file,FileOperation,mv Smart.txt MyFiles,moves Smart.txt inside MyFiles,LinuxCmd
rm,remove a file or directory,FileOperation,rm Smart.txt,deletes the file Smart.txt,LinuxCmd
rmdir,remove an empty directory,FileOperation,rmdir MyFiles,deletes the directory,LinuxCmd
ln,link files,FileOperation,,,LinuxCmd
head,output the first part of files,FileOperation,,,LinuxCmd
tail,output the last part of files,FileOperation,,,LinuxCmd
date,print the date and time,System,,,LinuxCmd
cal,display a calendar,System,,,LinuxCmd
lsblk,list connected drives,System,,,LinuxCmd
passwd,change user password,User,,,LinuxCmd
usermod,modify a user account,User,,,LinuxCmd
groupadd,create a new group,User,,,LinuxCmd
whoami,print current logged user,User,,,LinuxCmd
sudo,execute a command as another user,Permission,sudo rmdir MyAdminFile,"lets you delete the file with the admin rights, but will ask the password before executing that you will have to type blindly",LinuxCmd
su,change the current user,Permission,,,LinuxCmd
chmod,change file permissions,Permission,chmod g+r Stupid.txt,will give writing rights to the group for Stupid.txt. u=user g=group o=other a=all + or - r/w/x or u/g/o,LinuxCmd
chown,change the owner of a file,Permission,,,LinuxCmd
chgrp,change the group of a file,Permission,,,LinuxCmd
